Abbreviation,Name,Formula (neutral),Formula (charged),Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,Smiles
uaaGgla,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,C94H153N8O26P2,,-3,,C05893,,,,
uaaGgtla,Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine,C94H155N9O25P2,,-2,,C05894,,,,
uaagmda,Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala,C95H152N8O28P2,,-4,,C05898,,,,
uaagtmda,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",C95H154N9O27P2,,-3,,,,,,
uaccg,UDP-N-acetylglucosamine enolpyruvate,C20H26N3O19P2,,-3,,C04631,,,,
uacgala,UDP-N-acetyl-D-galactosamine,C17H25N3O17P2,,-2,,C00203,,,,
uacgam,UDP-N-acetylglucosamine,C17H25N3O17P2,,-2,,C00043,,,,
uacmam,UDP-N-acetyl-D-mannosamine,C17H25N3O17P2,,-2,,C01170,,,,
uaGgla,MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho- undecaprenol,C86H140N7O21P2,,-3,,C04851,,,,
uagmda,Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine,C87H139N7O23P2,,-4,,C05897,,,,
uama,UDP-N-acetylmuramoyl-L-alanine,C23H33N4O20P2,,-3,,C01212,,,,
uamag,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate,C28H39N5O23P2,,-4,,C00692,,,,
uamr,UDP-MurNAc,C20H28N3O19P2,,-3,,C01050,,,,
udcpdp,Bactoprenyl diphosphate,C55H90O7P2,,-2,,C04574,,,,
udcpp,Undecaprenylphosphate,C55H90O4P,,-1,,C17556|C00348,,,,
udp,UDP,C9H12N2O12P2,,-2,,C00015,,,,
udpg,UDP-glucose,C15H22N2O17P2,,-2,,C00029,,,,
udpgal,UDP-galactose,C15H22N2O17P2,,-2,,C00052,,,,
udpglcur,UDPglucuronate,C15H19N2O18P2,,-3,,C00167,,,,
udpsq,UDP-6-sulfoquinovose,C15H21N2O19P2S,,-3,,C11521,,,,
uGgla,UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala),C40H62N9O26P2,,-3,,C04702,,,,
ugmd,UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2-6-diaminopimelate,C35H51N7O26P2,,-4,,C04877,,,,
ugmda,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl- D-alanine,C41H61N9O28P2,,-4,,C04882,,,,
ump,UMP,C9H12N2O9P,,-1,,C00105,,,,
unaga,Undecaprenyl diphospho N-acetyl-glucosamine,C63H103NO12P2,,-2,,C01289,,,,
uppg1,UroporphyrinogenI,C40H36N4O16,,-8,,C05766,,,,
uppg3,UroporphyrinogenIII,C40H36N4O16,,-8,,C01051,,,,
ura,Uracil,C4H4N2O2,,0,,C00106,,,,
urea,Urea,CH4N2O,,0,,C00086,,,,
uri,Uridine,C9H12N2O6,,0,,C00299,,,,
utp,UTP,C9H12N2O15P3,,-3,,C00075,,,,
val-L,L-Valine,C5H11NO2,,0,,C00183,,,,
Vitamin B12,Vitamin B12,C61H86CoN13O14PR,,6,,C05776,,,,
Vitamin K1,Vitamin K1,C31H46O2,,0,,C02059,,,,
xmp,XMP,C10H12N4O9P,,-1,,C00655,,,,
xtp,XTP,C10H12N4O15P3,,-3,,C00700,,,,
xtsn,Xanthosine,C10H12N4O6,,0,,C01762,,,,
xu5p-D,D-Xylulose5-phosphate,C5H10O8P,,-1,,C00231,,,,
zcar,zeta-Carotene,C40H60,,0,,C05430,,,,
zn2,Zn2+,Zn,,2,,C00038,,,,
